xyxy,confidence,class_name,tracker_id
"['413.0', '216.0', '445.0', '239.0']",0.764,hummingbird,5
"['410.0', '216.0', '443.0', '242.0']",0.779,hummingbird,5
"['412.0', '215.0', '442.0', '239.0']",0.819,hummingbird,5
"['412.0', '216.0', '441.0', '239.0']",0.835,hummingbird,5
"['412.0', '216.0', '438.0', '242.0']",0.853,hummingbird,5
"['412.0', '217.0', '439.0', '240.0']",0.85,hummingbird,5
"['412.0', '217.0', '438.0', '240.0']",0.853,hummingbird,5
"['412.0', '219.0', '439.0', '239.0']",0.824,hummingbird,5
"['412.0', '219.0', '443.0', '239.0']",0.784,hummingbird,5
"['412.0', '216.0', '442.0', '240.0']",0.821,hummingbird,5
"['412.0', '216.0', '438.0', '241.0']",0.855,hummingbird,5
"['413.0', '218.0', '438.0', '240.0']",0.853,hummingbird,5
"['412.0', '219.0', '439.0', '240.0']",0.842,hummingbird,5
"['413.0', '222.0', '439.0', '239.0']",0.817,hummingbird,5
"['415.0', '217.0', '436.0', '244.0']",0.847,hummingbird,5
"['424.0', '208.0', '453.0', '227.0']",0.716,hummingbird,7
"['426.0', '208.0', '454.0', '228.0']",0.787,hummingbird,7
"['430.0', '208.0', '454.0', '231.0']",0.86,hummingbird,7
"['434.0', '206.0', '456.0', '230.0']",0.854,hummingbird,7
"['434.0', '205.0', '458.0', '229.0']",0.851,hummingbird,7
"['432.0', '200.0', '462.0', '236.0']",0.875,hummingbird,7
"['435.0', '197.0', '461.0', '224.0']",0.864,hummingbird,7
"['434.0', '197.0', '460.0', '224.0']",0.866,hummingbird,7
"['433.0', '198.0', '460.0', '228.0']",0.856,hummingbird,7
"['433.0', '197.0', '454.0', '228.0']",0.854,hummingbird,7
"['429.0', '196.0', '456.0', '226.0']",0.875,hummingbird,7
"['419.0', '200.0', '448.0', '228.0']",0.838,hummingbird,7
"['415.0', '213.0', '443.0', '236.0']",0.871,hummingbird,5
"['415.0', '213.0', '439.0', '241.0']",0.864,hummingbird,5
"['415.0', '219.0', '440.0', '241.0']",0.841,hummingbird,5
"['417.0', '222.0', '444.0', '239.0']",0.729,hummingbird,5
"['414.0', '217.0', '444.0', '238.0']",0.678,hummingbird,5
"['413.0', '216.0', '444.0', '239.0']",0.781,hummingbird,5
"['415.0', '217.0', '437.0', '242.0']",0.846,hummingbird,5
"['420.0', '218.0', '441.0', '244.0']",0.848,hummingbird,5
"['433.0', '205.0', '458.0', '231.0']",0.865,hummingbird,8
"['433.0', '208.0', '460.0', '238.0']",0.875,hummingbird,8
"['433.0', '209.0', '456.0', '240.0']",0.872,hummingbird,8
"['423.0', '208.0', '450.0', '236.0']",0.862,hummingbird,8
"['426.0', '207.0', '450.0', '240.0']",0.843,hummingbird,8
"['433.0', '207.0', '453.0', '233.0']",0.849,hummingbird,8
"['433.0', '207.0', '454.0', '232.0']",0.855,hummingbird,8
"['434.0', '206.0', '451.0', '239.0']",0.848,hummingbird,8
"['434.0', '208.0', '453.0', '233.0']",0.855,hummingbird,8
"['428.0', '210.0', '454.0', '230.0']",0.862,hummingbird,8
"['419.0', '211.0', '449.0', '231.0']",0.759,hummingbird,8
"['413.0', '215.0', '443.0', '236.0']",0.79,hummingbird,5
"['412.0', '219.0', '443.0', '241.0']",0.785,hummingbird,5
"['412.0', '218.0', '442.0', '241.0']",0.701,hummingbird,5
"['412.0', '220.0', '440.0', '241.0']",0.767,hummingbird,5
"['412.0', '215.0', '445.0', '239.0']",0.677,hummingbird,5
"['435.0', '194.0', '453.0', '224.0']",0.856,hummingbird,9
"['435.0', '193.0', '453.0', '225.0']",0.839,hummingbird,9
"['434.0', '194.0', '452.0', '226.0']",0.837,hummingbird,9
"['429.0', '198.0', '453.0', '223.0']",0.878,hummingbird,9
"['417.0', '209.0', '444.0', '232.0']",0.849,hummingbird,5
"['415.0', '210.0', '443.0', '230.0']",0.461,hummingbird,5
"['412.0', '216.0', '442.0', '236.0']",0.768,hummingbird,5
"['412.0', '214.0', '439.0', '239.0']",0.862,hummingbird,5
"['412.0', '218.0', '437.0', '241.0']",0.849,hummingbird,5
"['411.0', '219.0', '438.0', '240.0']",0.844,hummingbird,5
"['411.0', '216.0', '438.0', '239.0']",0.86,hummingbird,5
"['411.0', '215.0', '436.0', '240.0']",0.869,hummingbird,5
"['412.0', '216.0', '440.0', '239.0']",0.86,hummingbird,5
"['413.0', '221.0', '440.0', '240.0']",0.799,hummingbird,5
"['412.0', '220.0', '441.0', '240.0']",0.784,hummingbird,5
"['414.0', '212.0', '435.0', '242.0']",0.875,hummingbird,5
"['432.0', '203.0', '460.0', '226.0']",0.846,hummingbird,10
"['437.0', '199.0', '460.0', '231.0']",0.865,hummingbird,10
"['442.0', '196.0', '472.0', '220.0']",0.837,hummingbird,10
